iter	Passed	Remaining
0	0	96
1	1	85
2	2	78
3	3	72
4	3	71
5	4	69
6	5	68
7	5	68
8	6	67
9	7	66
10	8	64
11	8	64
12	9	63
13	10	62
14	10	61
15	11	60
16	12	59
17	13	59
18	13	59
19	14	58
20	15	58
21	16	57
22	17	59
23	18	59
24	19	58
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	52
33	26	51
34	27	50
35	28	49
36	28	49
37	29	48
38	30	47
39	31	46
40	32	46
41	32	44
42	33	43
43	33	42
44	34	42
45	35	41
46	35	40
47	36	39
48	37	39
49	38	38
50	39	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	63	12
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	71	5
93	72	4
94	73	3
95	73	3
96	74	2
97	75	1
98	76	0
99	77	0
