iter	Passed	Remaining
0	1	1576
1	2	1188
2	3	1056
3	4	1033
4	5	1017
5	6	1014
6	6	978
7	7	956
8	8	941
9	9	973
10	10	973
11	11	963
12	12	952
13	13	936
14	14	924
15	14	912
16	15	903
17	16	895
18	17	888
19	18	896
20	20	932
21	20	928
22	21	919
23	22	912
24	23	906
25	23	896
26	24	888
27	25	894
28	27	907
29	28	909
30	29	907
31	29	903
32	30	906
33	32	910
34	34	958
35	35	955
36	36	961
37	37	958
38	38	953
39	39	946
40	40	945
41	41	942
42	42	939
43	43	944
44	44	940
45	45	940
46	46	937
47	46	932
48	47	927
49	48	924
50	50	933
51	51	931
52	51	926
53	52	921
54	53	915
55	54	910
56	54	905
57	55	901
58	56	900
59	57	896
60	57	892
61	58	887
62	59	886
63	60	885
64	61	888
65	62	884
66	63	889
67	64	887
68	65	885
69	66	880
70	67	877
71	67	876
72	69	876
73	69	874
74	70	872
75	71	870
76	72	867
77	73	862
78	73	859
79	74	861
80	75	858
81	76	859
82	78	865
83	79	864
84	80	866
85	81	864
86	82	863
87	83	863
88	84	862
89	85	862
90	86	859
91	86	857
92	87	854
93	88	852
94	89	849
95	89	846
96	90	842
97	91	840
98	92	844
99	94	847
100	96	858
101	97	862
102	98	860
103	99	859
104	100	857
105	101	854
106	102	853
107	103	851
108	103	848
109	104	846
110	105	843
111	107	851
112	110	864
113	111	863
114	111	861
115	112	858
116	113	855
117	114	852
118	114	850
119	115	847
120	116	848
121	119	857
122	120	861
123	123	872
124	124	874
125	125	872
126	126	869
127	127	866
128	128	867
129	129	867
130	130	867
131	131	867
132	132	865
133	133	864
134	134	862
135	135	858
136	136	858
137	138	867
138	139	865
139	140	862
140	141	859
141	141	855
142	142	852
143	143	852
144	145	855
145	146	854
146	146	851
147	147	850
148	148	847
149	149	845
150	150	843
151	150	842
152	152	845
153	154	847
154	155	847
155	156	848
156	157	847
157	158	846
158	159	844
159	160	842
160	160	838
161	161	836
162	162	834
163	163	832
164	164	830
165	165	831
166	167	834
167	168	834
168	169	833
169	170	831
170	171	829
171	171	826
172	172	824
173	173	823
174	174	821
175	175	820
176	176	818
177	176	816
178	177	816
179	178	815
180	180	818
181	182	818
182	183	817
183	183	815
184	184	813
185	185	811
186	186	809
187	186	807
188	187	806
189	188	804
190	189	803
191	190	802
192	191	800
193	192	798
194	193	797
195	194	798
196	196	800
197	197	801
198	198	799
199	199	797
